tbf	ttr
13356.79	2
3821.76	15
13728.82	123
5938.82	21
18192.55	5
31219.64	36
7995.24	14
2340.64	25
11317.11	130
12112.35	70
17359.33	15
8049.72	35
23512.49	51
9033.29	370
21342.81	73
16297.71	66
7095.43	271
7034.42	83
13834.39	79
10035.40	71
49918.56	49
37843.37	59
260.92	42
4915.17	109
14660.32	45
7421.19	50
847.07	58
35930.79	51
2137.28	122
27316.00	45
43104.96	30
25311.31	59
29729.55	117
23866.69	154
47611.27	108
5111.94	7
37985.70	24
6200.59	24
9045.68	121
8987.09	145
1883.34	83
1514.93	34
1205.90	9
46860.17	88
6666.57	95
4571.80	131
2141.42	67
2731.96	222
6489.93	23
1923.88	22
62263.31	55
3145.38	39
21679.83	58
5362.57	65
9166.54	4
16331.61	10
7472.26	57
2181.47	104
11360.31	10
17986.47	24
318.69	16
12757.30	55
10983.04	120
17575.47	101
25433.16	48
42067.96	57
3097.35	0
3950.35	224
11094.34	8
25752.22	23
7103.80	55
7952.79	6
31167.18	177
17123.29	89
2743.65	28
13660.08	115
1434.34	61
19538.12	76
800.78	49
19117.47	130
41083.33	330
52377.52	158
9340.45	20
25655.24	63
24972.39	165
14447.68	67
13111.23	73
14360.61	59
11858.67	128
8002.49	48
3426.92	122
9155.33	14
33615.37	13
31811.36	2
14046.53	16
16175.23	3
17363.71	52
5547.25	84
2669.53	19
3108.15	23
27129.70	125
11870.44	96
13589.57	12
2254.05	3
6840.96	5
34984.54	203
474.08	63
17081.23	39
6333.88	63
14947.99	26
15608.24	26
28087.47	11
28824.56	61
18299.23	49
3663.32	7
8839.93	8
2761.56	2
10677.32	1
923.49	145
10268.54	49
19810.54	26
21438.26	89
6628.94	13
11102.67	96
23780.11	13
2359.87	193
206.01	145
29479.57	126
141.32	206
12649.64	4
1274.36	162
10329.65	40
17050.99	23
4886.19	0
13006.85	99
